country,full_name,geo.place_id,name
Estados Unidos,"San Diego, CA",a592bd6ceb1319f7,San Diego
Estados Unidos,"Nashville, TN",00ab941b685334e3,Nashville
Estados Unidos,Avengers Campus,110111e65b17d001,Avengers Campus
Brasil,"Osasco, Brasil",32e64dedd065063f,Osasco
Estados Unidos,"Clinton, NC",1cec7f32c847a98b,Clinton
Colombia,"Pasto, Colombia",014c9da514e05f59,Pasto
Reino Unido,"Maidenhead, South East",7448efd8dc7d7542,Maidenhead
Estados Unidos,Avengers Campus,110111e65b17d001,Avengers Campus
Estados Unidos,"Maryland, USA",dea1eac2d7ef8878,Maryland
Italia,"Roma, Lacio",7d588036fe12e124,Roma
Australia,"Alice Springs, Northern Territory",00a515d443f09983,Alice Springs
Estados Unidos,"Seattle, WA",300bcc6e23a88361,Seattle
Estados Unidos,"Chantilly, VA",353916ce76086be6,Chantilly
Estados Unidos,"Chantilly, VA",353916ce76086be6,Chantilly
